Recipe_id,Recipe,Ingredients,Link,Cuisine,Easy
0,One-Pot Cheeseburger Pasta,"['fusilli pasta', 'ketchup', 'beef broth', 'milk', 'onion', 'garlic', 'beef', 'worcestershire sauce', 'cheese']",https://tasty.co/recipe/one-pot-cheeseburger-pasta,american,Yes
1,One-Pot Broccoli Cheddar Soup,"['butter', 'broccoli', 'half half', 'onion', 'flour', 'carrot', 'stock', 'nutmeg', 'cheese']",https://tasty.co/recipe/one-pot-broccoli-cheddar-soup,american,Yes
2,Weekday Meal-prep Pesto Chicken & Veggies,"['bean', 'cherry tomato', 'oil', 'chicken thigh', 'basil pesto']",https://tasty.co/recipe/weekday-meal-prep-pesto-chicken-veggies,american,Yes
3,Vegan Butternut Squash Al Pastor Tacos,"['corn tortilla', 'pineapple', 'cilantro leaf', 'cumin', 'coriander', 'cayenne', 'apple cider vinegar', 'oil', 'lime', 'onion', 'butternut squash', 'avocado', 'thyme', 'orange juice', 'achiote']",https://tasty.co/recipe/vegan-butternut-squash-al-pastor-tacos,latin_american,No
4,Honey Soy Glazed Salmon,"['honey', 'salmon', 'ginger', 'oil', 'garlic', 'soy sauce']",https://tasty.co/recipe/honey-soy-glazed-salmon,american,No
5,Scalloped Potato Roll,"['spinach', 'paprika', 'ricotta', 'parsley', 'potato', 'onion', 'mozzarella', 'oil', 'garlic', 'beef', 'tomato', 'cheese']",https://tasty.co/recipe/scalloped-potato-roll,american,No
6,Grilled Shrimp Tacos With Creamy Cilantro Sauce,"['corn tortilla', 'jalapeno', 'paprika', 'cumin', 'heavy cream', 'cilantro', 'lime wedge', 'oil', 'lime juice', 'cabbage', 'shrimp tail', 'lime zest', 'oregano']",https://tasty.co/recipe/grilled-shrimp-tacos-with-creamy-cilantro-sauce,american,Yes
6,Grilled Shrimp Tacos With Creamy Cilantro Sauce,"['corn tortilla', 'jalapeno', 'paprika', 'cumin', 'heavy cream', 'cilantro', 'lime wedge', 'oil', 'lime juice', 'cabbage', 'shrimp tail', 'lime zest', 'oregano']",https://tasty.co/recipe/grilled-shrimp-tacos-with-creamy-cilantro-sauce,latin_american,Yes
7,Taco-Stuffed Peppers,"['corn', 'beef', 'starch', 'oregano', 'chili', 'heavy cream', 'paprika', 'onion', 'chunky salsa', 'cheese', 'bean', 'taco mix packet', 'cumin', 'cayenne', 'guacamole', 'oil', 'rice']",https://tasty.co/recipe/taco-stuffed-peppers,latin_american,No
7,Taco-Stuffed Peppers,"['corn', 'beef', 'starch', 'oregano', 'chili', 'heavy cream', 'paprika', 'onion', 'chunky salsa', 'cheese', 'bean', 'taco mix packet', 'cumin', 'cayenne', 'guacamole', 'oil', 'rice']",https://tasty.co/recipe/taco-stuffed-peppers,american,No
9,Slow Cooker Loaded Potato Soup,"['butter', 'heavy cream', 'bacon', 'potato', 'onion', 'flour', 'scallion', 'chicken broth', 'cheese']",https://tasty.co/recipe/slow-cooker-loaded-potato-soup,american,Yes
10,Easy Fish Tacos,"['corn tortilla', 'cumin', 'heavy cream', 'lime', 'cilantro', 'onion', 'cabbage', 'tilapia fillet', 'cayenne']",https://tasty.co/recipe/easy-fish-tacos,latin_american,No
12,Buttermilk-Fried Chicken Sandwich,"['dill', 'lemon juice', 'buttermilk', 'cayenne', 'plain yogurt', 'brioche burger bun', 'flour', 'oil', ' butter lettuce', 'chicken thigh', 'tomato', 'butter bun', 'cheese']",https://tasty.co/recipe/buttermilk-fried-chicken-sandwich,american,Yes
14,Southwestern-style Quinoa Salad,"['bean', 'jalapeno', 'cumin', 'lime', 'cilantro', 'quinoa', 'oil', 'chili powder', 'garlic', 'rom tomato', 'avocado', 'corn', 'stock']",https://tasty.co/recipe/southwestern-style-quinoa-salad,latin_american,No
15,Pesto Chicken Bake,"['chicken breast', 'rom tomato', 'basil pesto', 'cheese']",https://tasty.co/recipe/pesto-chicken-bake,american,No
16,"Cucumber, Tomato, And Avocado Salad","['lemon', 'oil', 'cilantro', 'cucumber', 'onion', 'rom tomato', 'ripe avocado']",https://tasty.co/recipe/cucumber-tomato-and-avocado-salad,american,Yes
17,Weekday Meal-Prep Chicken Burrito Bowls,"['bean', 'chicken breast', 'salsa', 'lime', 'cilantro', 'taco', 'onion', 'oil', 'rice', 'corn', 'bell pepper', 'cheese']",https://tasty.co/recipe/weekday-meal-prep-chicken-burrito-bowls,american,No
17,Weekday Meal-Prep Chicken Burrito Bowls,"['bean', 'chicken breast', 'salsa', 'lime', 'cilantro', 'taco', 'onion', 'oil', 'rice', 'corn', 'bell pepper', 'cheese']",https://tasty.co/recipe/weekday-meal-prep-chicken-burrito-bowls,latin_american,No
